======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1829

⚠️ Locus_tags DUPLICADOS encontrados: 211

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1407
   - ACYTXH_04075: bgc=, size=59aa
   - ACYTXH_04090: bgc=, size=156aa
   - ACYTXH_04145: bgc=, size=74aa
   - ACYTXH_04210: bgc=, size=162aa
   - ACYTXH_04215: bgc=, size=217aa
   - ACYTXH_04245: bgc=, size=65aa
   - ACYTXH_04585: bgc=, size=124aa
   - ACYTXH_04600: bgc=, size=180aa
   - ACYTXH_04615: bgc=, size=86aa
   - ACYTXH_04625: bgc=, size=57aa
   - ACYTXH_04665: bgc=, size=81aa
   - ACYTXH_04690: bgc=, size=71aa
   - ACYTXH_04710: bgc=, size=530aa
   - ACYTXH_05040: bgc=, size=50aa
   - ACYTXH_05145: bgc=, size=508aa
   - ACYTXH_05400: bgc=, size=87aa
   - ACYTXH_05405: bgc=, size=235aa
   - ACYTXH_05410: bgc=, size=51aa
   - ACYTXH_05435: bgc=, size=112aa
   - ACYTXH_05450: bgc=, size=186aa
   - ACYTXH_05485: bgc=, size=58aa
   - ACYTXH_05505: bgc=, size=56aa
   - ACYTXH_05555: bgc=, size=72aa
   - ACYTXH_05575: bgc=, size=187aa
   - ACYTXH_05610: bgc=, size=210aa
   - ACYTXH_05615: bgc=, size=86aa
   - ACYTXH_05670: bgc=, size=154aa
   - ACYTXH_05685: bgc=, size=145aa
   - ACYTXH_05695: bgc=, size=90aa
   - ACYTXH_05700: bgc=, size=153aa
   - ACYTXH_05730: bgc=, size=79aa
   - ACYTXH_05800: bgc=, size=442aa
   - ACYTXH_05805: bgc=, size=53aa
   - ACYTXH_05855: bgc=, size=128aa
   - ACYTXH_05880: bgc=, size=53aa
   - ACYTXH_05910: bgc=, size=73aa
   - ACYTXH_05935: bgc=, size=122aa
   - ACYTXH_05960: bgc=, size=125aa
   - ACYTXH_06000: bgc=, size=135aa
   - ACYTXH_06005: bgc=, size=108aa
   - ACYTXH_06020: bgc=, size=61aa
   - ACYTXH_06035: bgc=, size=50aa
   - ACYTXH_06055: bgc=, size=51aa
   - ACYTXH_06080: bgc=, size=79aa
   - ACYTXH_06115: bgc=, size=181aa
   - ACYTXH_06165: bgc=, size=566aa
   - ACYTXH_06180: bgc=, size=254aa
   - ACYTXH_06185: bgc=, size=66aa
   - ACYTXH_06195: bgc=, size=70aa
   - ACYTXH_06345: bgc=, size=138aa
   - ACYTXH_06360: bgc=, size=59aa
   - ACYTXH_06380: bgc=, size=137aa
   - ACYTXH_06420: bgc=, size=239aa
   - ACYTXH_06460: bgc=, size=72aa
   - ACYTXH_06465: bgc=, size=225aa
   - ACYTXH_06595: bgc=, size=66aa
   - ACYTXH_06600: bgc=, size=114aa
   - ACYTXH_06630: bgc=, size=239aa
   - ACYTXH_06645: bgc=, size=87aa
   - ACYTXH_06655: bgc=, size=316aa
   - ACYTXH_06675: bgc=, size=89aa
   - ACYTXH_06870: bgc=, size=48aa
   - ACYTXH_07245: bgc=, size=229aa
   - ACYTXH_07250: bgc=, size=146aa
   - ACYTXH_07270: bgc=, size=115aa
   - ACYTXH_07275: bgc=, size=761aa
   - ACYTXH_07300: bgc=, size=56aa
   - ACYTXH_07365: bgc=, size=140aa
   - ACYTXH_07410: bgc=, size=64aa
   - ACYTXH_07430: bgc=, size=294aa
   - ACYTXH_07435: bgc=, size=59aa
   - ACYTXH_07445: bgc=, size=51aa
   - ACYTXH_07470: bgc=, size=47aa
   - ACYTXH_07480: bgc=, size=103aa
   - ACYTXH_07490: bgc=, size=389aa
   - ACYTXH_07600: bgc=, size=85aa
   - ACYTXH_07620: bgc=, size=93aa
   - ACYTXH_07640: bgc=, size=73aa
   - ACYTXH_07645: bgc=, size=212aa
   - ACYTXH_07680: bgc=, size=143aa
   - ACYTXH_07685: bgc=, size=223aa
   - ACYTXH_07690: bgc=, size=170aa
   - ACYTXH_07730: bgc=, size=404aa
   - ACYTXH_07740: bgc=, size=159aa
   - ACYTXH_07760: bgc=, size=102aa
   - ACYTXH_07795: bgc=, size=42aa
   - ACYTXH_07820: bgc=, size=75aa
