======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1432

✅ Nenhum locus_tag duplicado encontrado

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1432
   - FWK04_02365: bgc=SEM_BGC, size=62aa
   - FWK04_02370: bgc=SEM_BGC, size=61aa
   - FWK04_02420: bgc=SEM_BGC, size=78aa
   - FWK04_02425: bgc=SEM_BGC, size=589aa
   - FWK04_02490: bgc=SEM_BGC, size=164aa
   - FWK04_02500: bgc=SEM_BGC, size=952aa
   - FWK04_02505: bgc=SEM_BGC, size=292aa
   - FWK04_02510: bgc=SEM_BGC, size=208aa
   - FWK04_02525: bgc=SEM_BGC, size=254aa
   - FWK04_02535: bgc=SEM_BGC, size=61aa
   - FWK04_02590: bgc=SEM_BGC, size=194aa
   - FWK04_02620: bgc=SEM_BGC, size=76aa
   - FWK04_02640: bgc=SEM_BGC, size=212aa
   - FWK04_02655: bgc=SEM_BGC, size=65aa
   - FWK04_02710: bgc=SEM_BGC, size=75aa
   - FWK04_02745: bgc=SEM_BGC, size=98aa
   - FWK04_02780: bgc=SEM_BGC, size=170aa
   - FWK04_02790: bgc=SEM_BGC, size=180aa
   - FWK04_02835: bgc=SEM_BGC, size=470aa
   - FWK04_02850: bgc=SEM_BGC, size=109aa
   - FWK04_02890: bgc=SEM_BGC, size=202aa
   - FWK04_02930: bgc=SEM_BGC, size=84aa
   - FWK04_02945: bgc=SEM_BGC, size=731aa
   - FWK04_02950: bgc=SEM_BGC, size=1539aa
   - FWK04_02955: bgc=SEM_BGC, size=144aa
   - FWK04_02960: bgc=SEM_BGC, size=274aa
   - FWK04_02985: bgc=SEM_BGC, size=62aa
   - FWK04_03060: bgc=SEM_BGC, size=68aa
   - FWK04_03070: bgc=SEM_BGC, size=60aa
   - FWK04_03120: bgc=SEM_BGC, size=62aa
   - FWK04_03140: bgc=SEM_BGC, size=180aa
   - FWK04_03150: bgc=SEM_BGC, size=95aa
   - FWK04_03275: bgc=SEM_BGC, size=64aa
   - FWK04_03285: bgc=SEM_BGC, size=133aa
   - FWK04_03295: bgc=SEM_BGC, size=59aa
   - FWK04_03310: bgc=hglE-KS, T1PKS, size=186aa
   - FWK04_03330: bgc=hglE-KS, T1PKS, size=220aa
   - FWK04_03420: bgc=hglE-KS, size=79aa
   - FWK04_03425: bgc=hglE-KS, size=129aa
   - FWK04_03450: bgc=SEM_BGC, size=81aa
   - FWK04_03470: bgc=SEM_BGC, size=933aa
   - FWK04_03490: bgc=SEM_BGC, size=141aa
   - FWK04_03505: bgc=SEM_BGC, size=78aa
   - FWK04_03520: bgc=SEM_BGC, size=203aa
   - FWK04_03535: bgc=SEM_BGC, size=199aa
   - FWK04_03545: bgc=SEM_BGC, size=140aa
   - FWK04_03555: bgc=SEM_BGC, size=61aa
   - FWK04_03580: bgc=SEM_BGC, size=117aa
   - FWK04_03600: bgc=SEM_BGC, size=204aa
   - FWK04_03610: bgc=SEM_BGC, size=549aa
   - FWK04_03615: bgc=SEM_BGC, size=98aa
   - FWK04_03650: bgc=SEM_BGC, size=66aa
   - FWK04_03740: bgc=SEM_BGC, size=121aa
   - FWK04_03745: bgc=SEM_BGC, size=94aa
   - FWK04_03750: bgc=SEM_BGC, size=363aa
   - FWK04_03780: bgc=SEM_BGC, size=206aa
   - FWK04_03820: bgc=SEM_BGC, size=106aa
   - FWK04_03915: bgc=SEM_BGC, size=307aa
   - FWK04_03935: bgc=SEM_BGC, size=73aa
   - FWK04_03950: bgc=SEM_BGC, size=207aa
   - FWK04_03965: bgc=SEM_BGC, size=134aa
   - FWK04_03970: bgc=SEM_BGC, size=148aa
   - FWK04_04045: bgc=SEM_BGC, size=126aa
   - FWK04_04050: bgc=SEM_BGC, size=1215aa
   - FWK04_04070: bgc=SEM_BGC, size=73aa
   - FWK04_04110: bgc=SEM_BGC, size=202aa
   - FWK04_04130: bgc=SEM_BGC, size=186aa
   - FWK04_04135: bgc=SEM_BGC, size=225aa
   - FWK04_04160: bgc=SEM_BGC, size=165aa
   - FWK04_04240: bgc=SEM_BGC, size=387aa
   - FWK04_04245: bgc=SEM_BGC, size=120aa
   - FWK04_04295: bgc=SEM_BGC, size=127aa
   - FWK04_04300: bgc=SEM_BGC, size=172aa
   - FWK04_04305: bgc=SEM_BGC, size=542aa
   - FWK04_04330: bgc=SEM_BGC, size=99aa
   - FWK04_04355: bgc=SEM_BGC, size=172aa
   - FWK04_04385: bgc=SEM_BGC, size=1225aa
   - FWK04_04390: bgc=SEM_BGC, size=261aa
   - FWK04_04395: bgc=SEM_BGC, size=998aa
   - FWK04_04410: bgc=SEM_BGC, size=169aa
   - FWK04_04415: bgc=SEM_BGC, size=133aa
   - FWK04_04420: bgc=SEM_BGC, size=102aa
   - FWK04_04520: bgc=SEM_BGC, size=142aa
   - FWK04_04545: bgc=SEM_BGC, size=242aa
   - FWK04_04555: bgc=SEM_BGC, size=966aa
   - FWK04_04560: bgc=SEM_BGC, size=147aa
   - FWK04_04565: bgc=SEM_BGC, size=132aa
   - FWK04_04580: bgc=SEM_BGC, size=59aa
   - FWK04_04595: bgc=SEM_BGC, size=66aa
   - FWK04_04615: bgc=SEM_BGC, size=108aa
   - FWK04_04640: bgc=SEM_BGC, size=65aa
   - FWK04_04675: bgc=SEM_BGC, size=479aa
